sid	audio_id	contrib	len	verb_hits	verbs	lemmas	text
3277253	470375	Ricardo14	16	1	ajudam	ajudar	Eles não ajudam.
6774398	470244	Ricardo14	9	1	gostamos	gostar	Gostamos.
1206517	67540	alexmarcelo	13	2	quero,dormir	dormir,querer	Quero dormir.
2780263	484055	Ricardo14	28	2	quero,sentir	querer,sentir	Eu quero me sentir especial.
1916001	87660	alexmarcelo	15	1	fiquem	ficar	Fiquem com ele.
2115262	103309	alexmarcelo	13	1	lembro	lembrar	Eu me lembro.
1201943	67420	alexmarcelo	14	1	conheço	conhecer	Eu te conheço.
1198143	67322	alexmarcelo	11	1	partiu	partir	Ele partiu.
6781319	471734	Ricardo14	18	1	quero	querer	Eu não quero você.
2635478	763813	Ricardo14	17	2	como,estão	comer,estar	Como vocês estão?
5342192	762208	Ricardo14	21	2	é,mora	morar,ser	Onde é que você mora?
1656808	76424	alexmarcelo	14	1	diz	dizer	Diz a verdade.
2744102	470137	Ricardo14	16	1	entende	entender	Ninguém entende.
4952490	967293	Ricardo14	19	1	precisa	precisar	Quem precisa delas?
1202001	67429	alexmarcelo	14	1	tenta	tentar	Tenta de novo.
1063231	58573	alexmarcelo	14	1	espero	esperar	Espero o pior.
2706564	769750	Ricardo14	24	2	tenho,perder	perder,ter	Não tenho nada a perder.
1564650	75283	alexmarcelo	13	1	pago	pagar	Onde eu pago?
1227811	67859	alexmarcelo	15	1	encontrei	encontrar	Encontrei você.
1063469	58622	alexmarcelo	33	2	posso,dar	dar,poder	Não posso te dar a resposta hoje.
3249242	470357	Ricardo14	18	1	sabemos	saber	Ainda não sabemos.
1291485	68860	alexmarcelo	14	1	voltou	voltar	Ele já voltou?
1236700	68048	alexmarcelo	15	2	posso,ver	poder,ver	Posso ver isso?
1900214	87234	alexmarcelo	12	1	pega	pegar	Pega uma só.
7345541	769916	Ricardo14	30	1	compramos	comprar	Nós compramos a casa do homem.
1234146	67996	alexmarcelo	16	1	falem	falar	Falem mais alto!
1190029	67183	alexmarcelo	16	1	temos	ter	Não temos tempo.
4756823	269693	bill	18	1	é	ser	Qual é mais fácil?
1656842	76431	alexmarcelo	16	2	quer,ir	ir,querer	A gente quer ir.
6968889	967381	Ricardo14	18	1	está	estar	Ninguém está aqui.
6780880	471710	Ricardo14	17	2	quero,fazer	fazer,querer	Quero fazer isso.
10606765	973416	Ricardo14	19	1	vejo	ver	Não vejo muito bem.
4735602	537376	Ricardo14	14	1	chegaram	chegar	Elas chegaram.
5117931	279320	alexmarcelo	28	3	sei,devo,fazer	dever,fazer,saber	Eu não sei o que devo fazer.
1213995	67668	alexmarcelo	12	1	abre	abrir	Abre a boca.
3277254	470376	Ricardo14	16	1	ajudam	ajudar	Elas não ajudam.
5129485	279848	bill	28	1	gosto	gostar	Eu gosto muito desse cantor.
1630136	75957	alexmarcelo	11	2	vou,dormir	dormir,ir	Vou dormir.
1112288	64036	alexmarcelo	31	2	tem,sentido	sentir,ter	Essa palavra tem duplo sentido.
1916005	87663	alexmarcelo	15	1	fiquem	ficar	Fiquem com ela.
1220242	67731	alexmarcelo	12	1	lembra	lembrar	Você lembra?
909340	48142	alexmarcelo	14	1	conhece	conhecer	Ela o conhece?
4745306	963424	Ricardo14	34	2	temos,partir	partir,ter	Nós temos de partir imediatamente.
972343	49860	alexmarcelo	21	2	como,está	comer,estar	Como está a sua irmã?
393581	963366	Ricardo14	15	1	mora	morar	Onde você mora?
5122505	279565	alexmarcelo	28	2	tenho,dizer	dizer,ter	Eu não tenho nada que dizer.
1656750	76411	alexmarcelo	15	1	entendem	entender	Todos entendem?
874923	46347	alexmarcelo	15	2	é,preciso	precisar,ser	É preciso mais.
1236744	68051	alexmarcelo	14	1	tente	tentar	Tente de novo.
972360	49876	alexmarcelo	28	1	espere	esperar	Por favor, espere meia hora.
4603608	537353	Ricardo14	12	1	perdeu	perder	Você perdeu.
1877130	83584	alexmarcelo	15	1	encontrei	encontrar	Encontrei algo.
1063470	58623	alexmarcelo	34	2	posso,dar	dar,poder	Não lhe posso dar a resposta hoje.
11170651	1186220	MathKay	19	2	queremos,saber	querer,saber	Não queremos saber.
5011547	276194	bill	11	1	voltem	voltar	Não voltem.
1900210	87231	alexmarcelo	11	1	pega	pegar	Pega um só.
2703295	470132	Ricardo14	16	1	falavam	falar	Falavam francês.
1917541	87706	alexmarcelo	15	2	podemos,ir	ir,poder	Podemos ir ali?
1217882	67705	alexmarcelo	16	1	tenham	ter	Não tenham medo.
4819151	475967	Ricardo14	19	1	faço	fazer	Eu nunca faço isso.
4833453	973365	Ricardo14	18	1	é	ser	Quem é o primeiro?
1330118	70078	alexmarcelo	15	2	é,ir	ir,ser	É melhor eu ir.
11190963	1186226	MathKay	17	1	está	estar	Alguém está aqui?
6781404	471742	Ricardo14	19	2	é,quero	querer,ser	Esse é o que quero.
1916192	87676	alexmarcelo	16	1	vejo	ver	Vejo a tua casa.
1792289	79607	alexmarcelo	11	1	chegou	chegar	Ele chegou?
1455430	72591	alexmarcelo	8	2	devo,ir	dever,ir	Devo ir?
5129482	279846	bill	28	2	tem,aberto	abrir,ter	Tem um livro aberto na mesa.
5053227	967334	Ricardo14	16	1	ajudamos	ajudar	Nós os ajudamos.
8974877	762247	Ricardo14	30	1	gosta	gostar	Você gosta desse tipo de jogo?
5122499	279560	alexmarcelo	29	1	dormir	dormir	Eu passei a noite sem dormir.
6388107	973370	Ricardo14	31	2	estão,sentindo	estar,sentir	Vocês estão se sentindo melhor?
5864918	351552	Ricardo14	15	1	fique	ficar	Fique com isso.
3222672	470351	Ricardo14	13	1	conheci	conhecer	Eu o conheci.
2149215	103876	alexmarcelo	22	1	come	comer	Ele não come isto, né?
7751711	762210	Ricardo14	15	1	mora	morar	Você mora onde?
1061473	58387	alexmarcelo	29	2	pode,dizer	dizer,poder	Você pode dizer isso de novo?
983355	50286	alexmarcelo	15	1	entendo	entender	Não te entendo.
4489359	963414	Ricardo14	14	2	preciso,ir	ir,precisar	Preciso ir lá?
1534141	74368	alexmarcelo	13	1	tente	tentar	Não me tente.
5122257	279427	alexmarcelo	29	2	espere,foi	esperar,ir,ser	Não o espere. Ele foi embora.
6983324	537815	Ricardo14	10	1	encontrei	encontrar	Encontrei.
5011546	276193	bill	10	1	volte	voltar	Não volte.
4773696	269941	bill	9	2	fui,pego	ir,pegar,ser	Fui pego.
4671456	471498	Ricardo14	16	1	falamos	falar	Falamos francês.
1829830	80336	alexmarcelo	16	2	sei,sou	saber,ser	Eu sei quem sou.
1917540	87705	alexmarcelo	14	2	podemos,ir	ir,poder	Podemos ir lá?
4819404	475973	Ricardo14	19	1	faço	fazer	Eu não faço aquilo.
3207443	470347	Ricardo14	17	1	está	estar	Tudo está pronto.
4517059	471495	Ricardo14	15	2	quero,ver	querer,ver	Quero ver isso.
6781470	471751	Ricardo14	17	2	é,quero	querer,ser	É o que eu quero.
5037182	475988	Ricardo14	21	2	vamos,fazer	fazer,ir	Não vamos fazer isso.
5149916	280712	bill	20	1	temos	ter	Nós não temos carro.
5305889	1187680	MathKay	18	1	é	ser	Isto é de meu pai.
1792295	79608	alexmarcelo	11	1	chegou	chegar	Ela chegou?
10609128	973419	Ricardo14	29	2	devo,fazer	dever,fazer	O que eu devo fazer com isso?
8863932	738323	Ricardo14	28	2	está,aberto	abrir,estar	O mercado está aberto ainda?
5053228	967335	Ricardo14	16	1	ajudamos	ajudar	Nós as ajudamos.
6672338	419693	Voz	33	2	é,gosta	gostar,ser	De onde é o vinho que você gosta?
5122501	279562	alexmarcelo	30	1	dormir	dormir	Ele passou a noite sem dormir.
10560930	963647	Ricardo14	22	1	fica	ficar	Quanto fica isso tudo?
4490804	475960	Ricardo14	34	2	quero,conhecer	conhecer,querer	Eu quero muito te conhecer melhor.
1201151	67395	alexmarcelo	13	1	como	comer	Eu como aqui.
985230	50313	alexmarcelo	13	1	moro	morar	Eu moro aqui.
4305962	475956	Ricardo14	32	2	queria,dizer	dizer,querer	Você queria dizer algo para mim?
889419	47430	alexmarcelo	14	1	entende	entender	Ela o entende.
4894403	978211	Ricardo14	14	1	preciso	precisar	Preciso disso.
4357372	978184	Ricardo14	13	1	tentamos	tentar	Nós tentamos.
5122259	279428	alexmarcelo	29	2	espere,foi	esperar,ir,ser	Não a espere. Ela foi embora.
1059913	58219	alexmarcelo	32	1	encontrou	encontrar	O mundo ainda não encontrou paz.
12302941	1182500	MathKay	27	2	volto,irei	ir,voltar	Já volto, irei ao banheiro.
2634513	153048	alexmarcelo	14	1	falo	falar	Eu falo muito.
2375091	132304	alexmarcelo	16	1	sabia	saber	Eu sabia demais.
3435231	475953	Ricardo14	25	2	pode,fazer	fazer,poder	Você não pode fazer isso.
4834817	475979	Ricardo14	17	1	fez	fazer	Ninguém fez isso.
6781088	482295	Ricardo14	21	2	tem,ver	ter,ver	O que isso tem a ver?
3389216	470419	Ricardo14	17	1	estava	estar	Não estava feliz.
4819397	471525	Ricardo14	19	1	querem	querer	Eles não te querem.
1869595	83214	alexmarcelo	15	2	queria,ter	querer,ter	Queria ter uma.
2607299	471455	Ricardo14	19	1	é	ser	Isso não é francês.
3802153	963409	Ricardo14	21	1	vai	ir	Isso não vai demorar.
4735603	470229	Ricardo14	9	1	chegaram	chegar	Chegaram.
1062997	58536	alexmarcelo	32	3	deve,ser,feito	dever,fazer,ser	O trabalho deve ser feito à mão?
5141758	280515	bill	15	2	quer,ajuda	ajudar,querer	Quer uma ajuda?
972786	50106	alexmarcelo	33	1	gosta	gostar	De que tipo de música você gosta?
4492677	769770	Ricardo14	34	2	é,dormir	dormir,ser	É hora de se preparar para dormir.
1915999	87658	alexmarcelo	14	1	fique	ficar	Fique com ele.
1061491	58405	alexmarcelo	24	2	têm,comer	comer,ter	Não têm nada para comer.
5126876	279740	alexmarcelo	25	2	sei,mora	morar,saber	Eu não sei onde ele mora.
8977442	763576	Ricardo14	32	2	quero,dizer	dizer,querer	Quero dizer uma coisa para você.
983354	50285	alexmarcelo	14	1	entendo	entender	Não o entendo.
1779411	79328	bill	25	1	preciso	precisar	Não preciso mais de você.
869302	46207	alexmarcelo	10	1	tenta	tentar	Ele tenta.
5897034	471638	Ricardo14	29	1	esperamos	esperar	Esperamos até as duas e meia.
10577976	973401	Ricardo14	33	2	como,encontrou	comer,encontrar	Como você encontrou a minha casa?
2607294	470126	Ricardo14	13	1	falo	falar	Falo francês.
11097151	1186211	MathKay	15	2	quero,saber	querer,saber	Quero lá saber!
3447912	963389	Ricardo14	25	2	posso,ir	ir,poder	Eu não posso ir com você?
1934925	88090	alexmarcelo	15	1	vi	ver	Eu vi primeiro.
3708893	967237	Ricardo14	19	1	estou	estar	Não estou com medo.
4837508	475980	Ricardo14	17	1	fazemos	fazer	Não fazemos isso.
4822842	475977	Ricardo14	21	2	tenho,fazer	fazer,ter	Tenho que fazer isso?
4819398	471526	Ricardo14	19	1	querem	querer	Elas não te querem.
3436371	967234	Ricardo14	17	1	sou	ser	Eu não sou forte.
1900388	87242	alexmarcelo	14	1	foram	ir,ser	Eles se foram.
6985155	537817	Ricardo14	9	1	chegamos	chegar	Chegamos!
3389030	351403	Ricardo14	15	1	ajudou	ajudar	Você me ajudou.
1916002	87661	alexmarcelo	14	1	fique	ficar	Fique com ela.
886614	46655	alexmarcelo	27	1	mora	morar	Ele não mora no meu bairro.
8976745	762258	Ricardo14	34	2	quis,dizer	dizer,querer	Ela não quis me dizer o nome dela.
1617641	75776	alexmarcelo	12	1	entendo	entender	Não entendo.
4894404	978212	Ricardo14	11	1	preciso	precisar	Eu preciso.
4357321	470193	Ricardo14	9	1	tentamos	tentar	Tentamos.
8873541	738367	Ricardo14	32	2	espero,poder	esperar,poder	Espero poder resolver isso logo.
1209911	67587	alexmarcelo	12	1	fale	falar	Não me fale.
5132158	280006	bill	24	2	come,come	comer	Ele não come isso, come?
1597502	75577	alexmarcelo	15	1	sabia	saber	Eu sabia disso.
1429454	72062	alexmarcelo	10	1	posso	poder	Posso vir?
2599205	152484	alexmarcelo	15	1	vi	ver	Eu te vi ontem.
4281551	967238	Ricardo14	19	1	está	estar	Quem não está aqui?
1048219	58034	alexmarcelo	15	1	tenho	ter	Não tenho fome.
5941292	475996	Ricardo14	19	1	fiz	fazer	Quando eu fiz isso?
6774458	471675	Ricardo14	17	1	quero	querer	Quero muito isso.
1900389	87243	alexmarcelo	14	1	foram	ir,ser	Elas se foram.
4508501	967253	Ricardo14	17	1	é	ser	Aquela é a chave.
881443	46490	alexmarcelo	14	1	ajuda	ajudar	Você me ajuda?
1916000	87659	alexmarcelo	13	1	fica	ficar	Fica com ele.
8977441	763575	Ricardo14	35	2	quero,dizer	dizer,querer	Eu quero dizer uma coisa para você.
2115279	103323	alexmarcelo	11	1	entenderei	entender	Entenderei.
4894405	470232	Ricardo14	8	1	preciso	precisar	Preciso.
4572200	978197	Ricardo14	9	1	tento	tentar	Eu tento.
4597792	351493	Ricardo14	11	1	falou	falar	Quem falou?
6774371	978223	Ricardo14	12	2	como,é	comer,ser	Como é isso?
3275876	470365	Ricardo14	15	1	sabemos	saber	Nós já sabemos.
7262332	963520	Ricardo14	27	2	possamos,fazer	fazer,poder	Talvez possamos fazer isso.
960410	49737	alexmarcelo	15	1	vi	ver	Eu não vi nada.
6369653	963474	Ricardo14	17	1	está	estar	Está meio quente.
1190047	67186	alexmarcelo	15	1	tenho	ter	O que eu tenho?
8967421	763849	Ricardo14	19	1	faz	fazer	Quem mais faz isso?
6781318	471733	Ricardo14	19	1	quero	querer	Eu não quero vocês.
2155655	103931	alexmarcelo	14	1	foi	ir,ser	Não foi fácil.
5623988	967343	Ricardo14	17	1	é	ser	Essa é a verdade.
891281	47497	alexmarcelo	13	1	ajudou	ajudar	Ela o ajudou.
1916004	87662	alexmarcelo	13	1	fica	ficar	Fica com ela.
2766632	351380	Ricardo14	11	1	entendi	entender	Eu entendi?
10543688	963636	Ricardo14	33	2	precisava,falar	falar,precisar	Eu precisava mesmo falar com ela.
10601059	973414	Ricardo14	32	3	estavam,tentando,ajudar	ajudar,estar,tentar	Elas só estavam tentando ajudar.
12301425	1182746	MathKay	26	1	fale	falar	Não fale em voz alta aqui.
1048352	58048	bill	12	1	comi	comer	Comi demais.
1396871	71431	alexmarcelo	14	2	sei,é	saber,ser	Eu sei quem é.
4814770	471520	Ricardo14	28	2	poderia,falar	falar,poder	Eu poderia falar em francês?
1229796	67902	alexmarcelo	14	1	vejo	ver	Eu não o vejo.
6781214	967368	Ricardo14	17	1	está	estar	Isso não está lá.
5127145	279782	bill	21	1	tem	ter	Não tem ninguém aqui.
4819153	475968	Ricardo14	16	1	faço	fazer	Nunca faço isso.
5055488	351531	Ricardo14	14	1	irei	ir	Irei com você.
6781321	471735	Ricardo14	19	1	quero	querer	Eu não quero tocar.
4860574	471556	Ricardo14	12	2	quero,ficar	ficar,querer	Quero ficar.
3701195	537800	Ricardo14	11	1	entenderam	entender	Entenderam?
891280	47496	alexmarcelo	12	1	ajuda	ajudar	Ela o ajuda.
1148643	65910	alexmarcelo	12	1	como	comer	Eu como pão.
974376	50166	alexmarcelo	22	2	sei,estão	estar,saber	Eu não sei onde estão.
2115205	103273	alexmarcelo	10	1	falem	falar	Não falem.
4938184	273757	bill	28	2	posso,comer	comer,poder	Eu posso comer esta laranja?
1653563	76323	alexmarcelo	14	1	viu	ver	Você viu isso?
873614	46311	alexmarcelo	17	1	estou	estar	Onde estou agora?
1869587	83213	alexmarcelo	14	2	queria,ter	querer,ter	Queria ter um.
4819262	475970	Ricardo14	16	1	faço	fazer	Faço isso muito.
875152	46351	alexmarcelo	14	1	irei	ir	Irei de carro.
2188037	104464	alexmarcelo	12	1	fiquem	ficar	Fiquem aqui.
4357344	351441	Ricardo14	11	1	entendi	entender	Eu entendi.
4922522	273482	bill	11	1	ajudou	ajudar	Não ajudou.
983566	50288	alexmarcelo	12	1	comi	comer	Comi a maçã.
5613907	351546	Ricardo14	14	1	sei	saber	Ainda não sei.
4417465	471488	Ricardo14	26	1	fala	falar	Nenhum deles fala francês.
10610205	973428	Ricardo14	29	2	posso,ficar	ficar,poder	Posso ficar aqui essa semana?
1775385	79222	alexmarcelo	14	1	vi	ver	Eu vi o filme.
4822841	475976	Ricardo14	23	2	tenho,fazer	fazer,ter	Eu tenho de fazer isso?
10537320	963633	Ricardo14	16	1	estou	estar	Estou muito bem!
4819263	475971	Ricardo14	16	1	faço	fazer	Faço muito isso.
990375	50387	alexmarcelo	14	1	vou	ir	Vou para casa.
4360736	351442	Ricardo14	11	1	entendemos	entender	Entendemos.
2454376	139106	alexmarcelo	9	1	ajuda	ajudar	Me ajuda!
4479634	484085	Ricardo14	25	2	quer,ficar	ficar,querer	Você quer ficar com isso?
1190051	67187	alexmarcelo	11	2	como,é	comer,ser	Como ele é?
5613908	351547	Ricardo14	14	1	sei	saber	Não sei ainda.
2115188	103260	alexmarcelo	9	1	fale	falar	Não fale.
3447946	963394	Ricardo14	30	1	pode	poder	Você pode me ligar mais tarde?
2599207	152485	alexmarcelo	14	1	vi	ver	Eu a vi ontem.
1189920	67173	alexmarcelo	13	1	tem	ter	Não tem erro.
12011233	1187736	MathKay	16	1	estou	estar	Já não estou só.
4819405	475974	Ricardo14	16	1	faço	fazer	Não faço aquilo.
912212	48274	alexmarcelo	13	2	queria,ir	ir,querer	Queria ir lá.
8843040	738300	Ricardo14	26	1	entendo	entender	Eu não entendo nada disso.
8997459	767410	Ricardo14	32	1	ajudar	ajudar	Obrigado por me ajudar com isso.
4597586	351476	Ricardo14	11	1	fique	ficar	Fique aqui.
1190053	67188	alexmarcelo	11	2	como,é	comer,ser	Como ela é?
988789	50365	alexmarcelo	14	1	sabe	saber	Ele sabe tudo.
8995755	767407	Ricardo14	27	1	fala	falar	Ninguém fala dessa maneira.
7262331	963519	Ricardo14	31	2	possamos,fazer	fazer,poder	Talvez nós possamos fazer isso.
2599208	152486	alexmarcelo	14	1	vi	ver	Eu o vi ontem.
4822840	475975	Ricardo14	24	2	tenho,fazer	fazer,ter	Eu tenho que fazer isso?
1608937	75684	alexmarcelo	16	1	está	estar	Ainda está aqui.
6781184	484219	Ricardo14	21	2	quero,fazer	fazer,querer	Não quero fazer isso.
1783014	79377	alexmarcelo	8	1	entendo	entender	Entendo.
7477417	769926	Ricardo14	33	2	farei,ajudar	ajudar,fazer	Farei qualquer coisa para ajudar.
4597794	351494	Ricardo14	11	1	ficou	ficar	Quem ficou?
1446650	72381	alexmarcelo	11	1	comeu	comer	Quem comeu?
1078312	59052	alexmarcelo	13	1	sabe	saber	Só Deus sabe.
2637289	473461	Ricardo14	28	2	é,falar	falar,ser	É tão difícil falar francês?
8942616	963570	Ricardo14	31	2	posso,ir	ir,poder	Eu não posso ir a lugar nenhum.
2911472	171936	alexmarcelo	14	1	vendo	ver	Vendo sapatos.
2894133	470144	Ricardo14	12	1	temos	ter	Temos vinho.
6781435	967371	Ricardo14	16	1	está	estar	Ele não está lá.
5126776	279695	alexmarcelo	29	1	entenda	entender	Quem há que não entenda isto?
972381	49893	alexmarcelo	34	3	é,pode,ajudar	ajudar,poder,ser	Você é o único que pode me ajudar.
2115320	103344	alexmarcelo	8	1	fico	ficar	Eu fico.
4872906	271547	bill	10	1	come	comer	Come bolo.
1224477	67792	alexmarcelo	13	1	sabe	saber	Ninguém sabe.
8976747	762259	Ricardo14	29	1	falei	falar	Esqueça o que eu falei antes.
9801865	963573	Ricardo14	35	1	podemos	poder	Podemos simplesmente esquecer isso?
5197306	963456	Ricardo14	14	1	viu	ver	Você a viu lá?
1198141	67321	alexmarcelo	11	1	tenho	ter	Tenho fome.
6781452	763828	Ricardo14	16	1	está	estar	Ela não está lá.
1112637	64079	alexmarcelo	34	4	entende,como,faz,faz	comer,entender,fazer	Ninguém entende como faz, mas faz.
8974829	762228	Ricardo14	29	2	quer,ficar	ficar,querer	Ela não quer ficar mais aqui.
4456185	963412	Ricardo14	27	3	como,foi,fez	comer,fazer,ir,ser	Como foi que você fez isso?
2115213	103275	alexmarcelo	13	1	sabiam	saber	Todos sabiam.
4966127	473499	Ricardo14	33	1	falo	falar	Ainda não falo francês muito bem.
918155	48373	alexmarcelo	14	1	vejo	ver	Não vejo nada.
1061474	58388	alexmarcelo	27	1	tem	ter	Ele não tem muito dinheiro.
7575419	978234	Ricardo14	16	1	estou	estar	Eu estou triste.
8985106	767391	Ricardo14	34	1	entendíamos	entender	Entendíamos muito bem um ao outro.
6780872	484207	Ricardo14	30	2	quero,fique	ficar,querer	Quero que você fique com isso.
1155781	65965	alexmarcelo	12	2	quero,saber	querer,saber	Quero saber.
5595396	473577	Ricardo14	33	1	falamos	falar	Nunca falamos em Francês em casa.
3386154	470403	Ricardo14	13	1	vimos	ver	Nós os vimos.
6769345	769832	Ricardo14	31	1	ter	ter	Ninguém parece ter medo de mim.
9461687	967403	Ricardo14	20	1	estão	estar	Onde que eles estão?
5949814	484179	Ricardo14	33	2	quero,fique	ficar,querer	Eu quero que você fique com isto.
2115212	103274	alexmarcelo	12	1	sabem	saber	Todos sabem.
4264781	473480	Ricardo14	34	2	tem,falar	falar,ter	Você tem de falar em francês aqui.
3386155	470404	Ricardo14	13	1	vimos	ver	Nós as vimos.
5126820	279716	alexmarcelo	25	1	sabe	saber	Você não sabe o seu nome?
4966399	473546	Ricardo14	35	2	sou,fala	falar,ser	Sou o único daqui que fala francês?
1218014	67709	alexmarcelo	12	1	vimos	ver	Nós o vimos.
5126816	279714	alexmarcelo	26	1	sabe	saber	Você não sabe o nome dele?
1672159	76781	alexmarcelo	12	1	vi	ver	Eu não o vi.
5126818	279715	alexmarcelo	26	1	sabe	saber	Você não sabe o nome dela?
1672160	76782	alexmarcelo	12	1	vi	ver	Eu não a vi.
972405	49915	alexmarcelo	10	1	sabe	saber	Você sabe?
1212953	67643	alexmarcelo	9	1	sei	saber	Nada sei.
5700032	967344	Ricardo14	19	1	é	ser	Esse é o seu livro.
5906067	967348	Ricardo14	19	1	é	ser	Esse é o meu lugar.
5968302	967350	Ricardo14	19	1	é	ser	Esse é o meu livro.
6781428	471746	Ricardo14	17	1	querem	querer	Eles querem isso.
6781444	471749	Ricardo14	17	1	querem	querer	Elas querem isso.
7445410	967393	Ricardo14	19	1	é	ser	É o trabalho deles.
972385	49897	alexmarcelo	19	1	querem	querer	O que querem beber?
972386	49898	alexmarcelo	17	1	quer	querer	O que quer beber?
1056105	58171	alexmarcelo	16	1	é	ser	Ele é professor?
1122551	64527	alexmarcelo	16	1	é	ser	É um novo livro.
1229736	67900	alexmarcelo	16	1	é	ser	Ele é professor.
2105989	351367	Ricardo14	16	1	era	ser	Era um presente.
3435952	470184	Ricardo14	20	1	sou	ser	Não sou conservador.
4686857	978208	Ricardo14	16	1	é	ser	Isso é vermelho.
4810626	963428	Ricardo14	20	1	é	ser	Esse é um bom livro.
4819402	471530	Ricardo14	16	1	querem	querer	Não querem você.
4930395	471562	Ricardo14	16	1	quero	querer	Eu quero aquele.
4955769	967296	Ricardo14	16	1	era	ser	Não era o nosso.
4973392	963450	Ricardo14	16	1	será	ser	Será essa noite.
5190420	471600	Ricardo14	16	1	quero	querer	Quero algo novo.
6774431	471670	Ricardo14	16	1	quero	querer	Eu quero aquilo.
6780679	471691	Ricardo14	16	1	quer	querer	Você quer esses?
6780844	967357	Ricardo14	16	1	sou	ser	Sou um de vocês.
6781173	471719	Ricardo14	16	1	quero	querer	Não quero vocês.
6781175	471721	Ricardo14	16	1	quero	querer	Não quero tocar.
974409	50168	alexmarcelo	16	1	estou	estar	Estou com calor.
1014974	50836	alexmarcelo	15	1	é	ser	Qual é a causa?
10515864	963611	Ricardo14	15	1	é	ser	A festa é hoje.
1066251	58734	alexmarcelo	15	1	estou	estar	Estou com frio.
1070421	58835	alexmarcelo	15	1	é	ser	Isto é uma lei.
11025550	1186202	MathKay	15	1	é	ser	Tudo é verdade.
11237563	1187716	MathKay	15	1	é	ser	É só um minuto.
1189982	67177	alexmarcelo	15	1	é	ser	Este é um mapa.
1201088	67386	alexmarcelo	15	1	é	ser	Essa é a ideia.
1213917	67663	alexmarcelo	15	1	está	estar	Está muito bom.
1220112	67724	alexmarcelo	15	1	quero	querer	Quero um livro.
1227748	67853	alexmarcelo	15	1	estou	estar	Estou sem fome.
1229743	67901	alexmarcelo	15	1	está	estar	Ela está feliz.
12301861	1182482	MathKay	15	1	é	ser	Isto é de quem?
1637584	76054	alexmarcelo	15	1	fariam	fazer	Vocês o fariam?
1656799	76420	alexmarcelo	15	1	é	ser	Agora é a hora.
1656859	76436	alexmarcelo	15	1	farão	fazer	Que farão elas?
1701016	77731	alexmarcelo	15	1	quero	querer	Quero o melhor.
1701017	77732	alexmarcelo	15	1	quero	querer	Quero a melhor.
