sid	audio_id	contrib	len	n_pivots	pivots	text
4716917	419685	Voz	20	1	estar	Eles estão com fome.
972584	49980	alexmarcelo	21	1	wh-question	Quanto dinheiro quer?
3341576	470386	Ricardo14	21	1	ser	Sou professor também.
11255655	1186233	MathKay	20	1	demonstrative	Elas começaram isso.
2033310	97184	alexmarcelo	23	1	negation	Eu não quero te perder.
4488897	473482	Ricardo14	48	2	saber+inf,ter	Tenho um amigo que sabe falar francês muito bem.
8985988	767395	Ricardo14	43	2	precisar+inf,ter	Só tem mais uma coisa que eu preciso fazer.
7447342	967394	Ricardo14	14	1	imperative	Me dá uma mão.
1325520	769743	Ricardo14	31	2	estar,estar+ndo	Estou começando a gostar disso.
5055453	351527	Ricardo14	15	1	ir+inf	Vou pegar gelo.
5115379	279224	bill	24	1	poder+inf	Eu posso abrir a janela?
8977454	763580	Ricardo14	17	1	preterite-irreg	Sempre fui assim.
868897	46182	alexmarcelo	19	1	prep-place-or-time	Falei sobre música.
5098295	484147	Ricardo14	26	1	conjunction	Você quer ir embora agora?
2607346	473401	Ricardo14	20	1	querer+inf	Quero falar francês.
6993981	967385	Ricardo14	23	1	ter	Nós temos que ir agora.
5116360	279269	bill	17	1	possessive	Cadê o seu amigo?
1063269	58587	alexmarcelo	25	1	estar	Estou com medo do ônibus.
1656856	76434	alexmarcelo	24	1	wh-question	O que era para eu fazer?
886637	46669	alexmarcelo	23	1	ser	Tudo é melhor sem você.
5952843	471648	Ricardo14	20	1	demonstrative	Quero que isso pare.
4819400	471528	Ricardo14	21	1	negation	Elas não querem você.
1111839	63976	alexmarcelo	30	3	precisar+inf,prep-place-or-time,ser	É preciso repetir em voz alta.
1213925	67665	alexmarcelo	13	1	imperative	Abra a porta.
2115260	103307	alexmarcelo	12	2	estar,estar+ndo	Estou vendo.
868715	46148	alexmarcelo	15	1	ir+inf	Ele vai morrer?
11890692	1187730	MathKay	19	1	poder+inf	Podemos falar aqui?
2375092	132305	alexmarcelo	16	1	preterite-irreg	Eu soube demais.
8976756	762264	Ricardo14	25	1	prep-place-or-time	Ela mora bem longe daqui.
651915	42132	brauliobezerra	27	1	conjunction	Era o momento de ir embora.
2634539	153050	alexmarcelo	24	1	querer+inf	Eu quero fechar a conta.
868880	46166	alexmarcelo	20	1	ter	Tenho uma boa ideia.
5128668	279818	bill	28	1	possessive	Por favor, espera a sua vez.
1112745	64119	alexmarcelo	19	1	estar	A água está quente.
5122340	279462	alexmarcelo	24	1	wh-question	"Como vai?" "Muito bem."
972549	49952	alexmarcelo	21	1	ser	"Ela é jovem?" "Sim."
6774457	471674	Ricardo14	20	1	demonstrative	Eu quero muito isso.
4819401	471529	Ricardo14	21	1	negation	Eles não querem você.
1213993	67667	alexmarcelo	12	1	imperative	Abra a boca.
5939723	769813	Ricardo14	32	2	estar,estar+ndo	Está ficando cada vez mais frio.
1212871	67641	alexmarcelo	14	1	ir+inf	Eu vou correr.
9801868	963575	Ricardo14	25	1	poder+inf	Eu posso entrar aí agora?
889291	47421	alexmarcelo	16	1	preterite-irreg	Ela foi com ele.
5613224	471620	Ricardo14	26	1	prep-place-or-time	Estarei pronto na segunda.
1466433	72749	alexmarcelo	16	1	conjunction	Quero ir embora.
2717074	484048	Ricardo14	24	1	querer+inf	Vocês querem ficar aqui?
8976753	762263	Ricardo14	24	1	ter	Aqui tem barulho demais.
972713	50060	alexmarcelo	16	1	possessive	A cada um o seu.
4619676	978204	Ricardo14	19	1	estar	Eu estou de acordo.
6781788	484241	Ricardo14	24	1	wh-question	Para o que você me quer?
4815115	967264	Ricardo14	20	1	ser	Eu sou o mais velho.
12270218	1182466	MathKay	25	1	demonstrative	Isso tinha que ser feito.
886625	46663	alexmarcelo	21	1	negation	Não há vida sem água.
4992182	967320	Ricardo14	17	2	imperative,ir+inf	Vai ficar pronto.
4723724	269108	bill	35	2	estar,estar+ndo	Estamos morando aqui desde outubro.
1075463	58936	alexmarcelo	13	1	ir+inf	Vamos tentar.
3447972	963395	Ricardo14	26	1	poder+inf	Vocês podem abrir a porta?
1220224	67730	alexmarcelo	15	1	preterite-irreg	Tive uma ideia.
12272880	1182472	MathKay	27	1	prep-place-or-time	Eu trabalho em uma empresa.
1900166	87227	alexmarcelo	15	1	conjunction	Tudo se perdeu.
8586334	967400	Ricardo14	20	1	querer+inf	Nós queremos tentar.
6780828	471701	Ricardo14	25	1	ter	Tenho o que vocês querem.
1199999	67366	alexmarcelo	15	1	possessive	Eu gosto deles.
4902704	967288	Ricardo14	19	1	estar	Estamos aqui agora.
4903002	967290	Ricardo14	19	1	wh-question	Quem precisa disso?
6780850	484205	Ricardo14	24	1	ser	Sou eu quem eles querem.
4819260	475969	Ricardo14	19	1	demonstrative	Eu faço isso muito.
10616284	978276	Ricardo14	24	1	negation	Não falo nada de inglês.
8054708	963557	Ricardo14	15	2	demonstrative,imperative	Veja esse aqui.
7481804	769927	Ricardo14	36	2	estar,estar+ndo	Está ficando mais quente a cada dia.
8967532	763853	Ricardo14	31	1	ir+inf	Vou ficar com você até segunda.
3447986	963397	Ricardo14	27	1	poder+inf	Podemos descansar um pouco?
1357421	70857	alexmarcelo	15	1	preterite-irreg	Foi um bom rei.
868695	46143	alexmarcelo	27	1	prep-place-or-time	Você estava em casa às dez?
1441631	72258	alexmarcelo	13	1	conjunction	Eles se amam.
4814572	471518	Ricardo14	19	1	querer+inf	Quero ficar melhor.
6781287	471727	Ricardo14	25	1	ter	Eu tenho o que você quer.
3408272	470151	Ricardo14	15	1	possessive	Preciso do meu.
8551929	973378	Ricardo14	19	1	estar	Ela está bem mesmo?
5151461	280884	bill	19	1	wh-question	Quem você convidou?
6781426	967370	Ricardo14	20	1	ser	Eles são da família.
4819264	475972	Ricardo14	19	1	demonstrative	Eu faço muito isso.
2738209	484052	Ricardo14	20	1	negation	Eu não queria saber.
8054711	963560	Ricardo14	15	2	demonstrative,imperative	Veja essa aqui.
1111771	63961	alexmarcelo	22	3	estar,estar+ndo,wh-question	Onde está indo o trem?
4832799	270922	bill	12	1	ir+inf	Vamos tocar.
972536	49946	alexmarcelo	27	1	poder+inf	Poderia repetir, por favor?
2576827	152126	alexmarcelo	15	1	preterite-irreg	Nós fomos a pé.
12302942	1182501	MathKay	16	1	prep-place-or-time	Vou no banheiro.
2008981	92637	alexmarcelo	13	1	conjunction	Vamos embora.
5031189	471589	Ricardo14	19	1	querer+inf	Eu quero descansar.
6993982	967386	Ricardo14	19	1	ter	Temos que ir agora.
891190	47489	alexmarcelo	15	1	possessive	Ela gosta dele.
8611701	963567	Ricardo14	19	1	estar	Está sempre aberto.
576817	40050	bill	19	1	wh-question	Onde vocês estavam?
6781442	967372	Ricardo14	20	1	ser	Elas são da família.
5129501	279854	bill	25	1	demonstrative	Eu espero que isso ajude.
2745011	165525	alexmarcelo	24	1	negation	Eu não consigo entender.
4765881	269833	bill	12	2	imperative,ir+inf	Vai ser bom.
5599727	769806	Ricardo14	24	3	estar,estar+ndo,negation	Eu não estou vendo nada.
7288340	769907	Ricardo14	32	1	ir+inf	Vou fazer melhor da próxima vez.
1072495	58859	alexmarcelo	16	1	poder+inf	Eu posso correr.
4685962	351516	Ricardo14	15	1	preterite-irreg	Tive de entrar.
5127058	279771	bill	16	1	prep-place-or-time	Espera no carro.
972515	49933	alexmarcelo	38	1	conjunction	Eu era mesmo jovem quando a encontrei.
5200173	471603	Ricardo14	19	1	querer+inf	Quero trabalhar lá.
10614682	973432	Ricardo14	26	1	ter	Tenho uma coisa para você.
4822743	471535	Ricardo14	30	1	possessive	Nós queremos o nosso dinheiro.
8611703	963568	Ricardo14	19	1	estar	Está sempre aberta.
10203225	1186153	MathKay	18	1	wh-question	Que devemos fazer?
7021224	963508	Ricardo14	20	1	ser	Cada um é diferente.
6780617	471686	Ricardo14	19	1	demonstrative	Vocês querem esses?
4966406	471580	Ricardo14	24	1	negation	Não sei nada de francês.
4966274	473531	Ricardo14	56	2	imperative,prep-place-or-time	Faz muito tempo desde a última vez que falei em francês.
1063520	58670	alexmarcelo	30	3	estar,estar+ndo,possessive	Só estou fazendo meu trabalho.
873892	46322	alexmarcelo	12	1	ir+inf	Vou estudar.
579854	40174	brauliobezerra	16	1	poder+inf	Pode ser amanhã?
5231902	963457	Ricardo14	14	1	preterite-irreg	Você fez café?
8966766	763846	Ricardo14	16	1	prep-place-or-time	Você nos ajudou.
972518	49935	alexmarcelo	38	1	conjunction	Eu era mesmo jovem quando o encontrei.
11053181	1186207	MathKay	18	1	querer+inf	Querem comer aqui?
4410060	769768	Ricardo14	27	1	ter	Tenho algo para te mostrar.
6774446	471673	Ricardo14	14	1	possessive	Quero a minha.
2930346	1186122	MathKay	18	1	estar	Está tudo perdido.
2751659	470319	Ricardo14	18	1	wh-question	Quem te encontrou?
4861539	271418	bill	25	1	ser	É melhor você ficar aqui.
6780618	471687	Ricardo14	19	1	demonstrative	Vocês querem essas?
5126770	279692	alexmarcelo	24	1	negation	Não há quem não entenda.
5122320	279448	alexmarcelo	35	3	conjunction,estar,estar+ndo	O tempo está começando a se fechar.
5985493	473617	Ricardo14	33	1	ir+inf	Eu vou começar a estudar francês.
7327773	963526	Ricardo14	16	1	poder+inf	Eu posso tentar.
1592076	75549	alexmarcelo	13	1	preterite-irreg	Você fez bem.
5613223	471619	Ricardo14	29	1	prep-place-or-time	Eu estarei pronto na segunda.
1063477	58630	alexmarcelo	22	2	conjunction,negation	Mas eu não tinha medo.
2607345	473400	Ricardo14	26	1	querer+inf	Quero poder falar francês.
4493116	967251	Ricardo14	17	1	ter	Tenho visto eles.
10609127	973418	Ricardo14	31	1	possessive	Seria ela o amor da minha vida?
7298359	967388	Ricardo14	18	1	wh-question	Quem os encontrou?
6780847	471703	Ricardo14	25	1	ser	Sou eu quem vocês querem.
2697629	471465	Ricardo14	26	1	demonstrative	Eles querem isso de volta.
6780672	484201	Ricardo14	20	1	negation	Você quer, não quer?
6396474	973371	Ricardo14	35	3	estar,estar+ndo,negation	Estou começando a não gostar disso.
7288330	769906	Ricardo14	35	1	ir+inf	Eu vou fazer melhor da próxima vez.
3449501	963408	Ricardo14	29	1	poder+inf	Posso beber um pouco de água?
4415360	251436	alexmarcelo	13	1	preterite-irreg	Foi um sonho.
8976749	762261	Ricardo14	29	1	prep-place-or-time	Gosto muito de ficar em casa.
1110854	63889	alexmarcelo	21	2	conjunction,wh-question	Quando o jogo começa?
4850249	471550	Ricardo14	18	1	querer+inf	Quero saber agora.
4493117	967252	Ricardo14	17	1	ter	Tenho visto elas.
8863948	738330	Ricardo14	31	1	possessive	Gosto da sua maneira de pensar.
972585	49981	alexmarcelo	26	1	wh-question	Quanto dinheiro você quer?
6781291	967369	Ricardo14	19	1	ser	Eu sou um de vocês.
6774411	471666	Ricardo14	18	1	demonstrative	Nós queremos isso.
6781761	484234	Ricardo14	20	1	negation	Você não me quer lá?
12273620	1182681	MathKay	37	3	estar,estar+ndo,negation	Você não está fazendo nada de errado.
1112722	64111	alexmarcelo	44	1	ir+inf	Sim, ligo para você às nove. Você vai estar?
1063188	58559	alexmarcelo	30	1	poder+inf	Posso ver o quarto, por favor?
12283804	1182691	MathKay	23	2	negation,preterite-irreg	Acho que não fui claro.
2651510	161559	alexmarcelo	14	1	prep-place-or-time	Fique na casa.
4760348	269765	bill	26	2	conjunction,negation	Você não se lembra de nós?
4850251	471552	Ricardo14	18	1	querer+inf	Agora quero saber.
6781755	484233	Ricardo14	27	1	ter	Você tem o que eles querem.
1112638	64080	alexmarcelo	32	1	possessive	Você deve estudar como sua irmã.
11134327	1186212	MathKay	17	1	wh-question	Quanto você come?
8997181	767408	Ricardo14	19	1	ser	Você é uma artista!
8985078	763868	Ricardo14	18	1	demonstrative	Prefere esse aqui?
868888	46174	alexmarcelo	24	1	negation	Mãe não há mais que uma.
8864124	738338	Ricardo14	43	3	demonstrative,estar,estar+ndo	Nós estamos fazendo isso há bastante tempo.
1672233	76783	alexmarcelo	23	2	ir+inf,wh-question	O que vai fazer amanhã?
1320687	69792	alexmarcelo	14	1	poder+inf	Você pode vir.
5699216	482245	Ricardo14	23	2	demonstrative,preterite-irreg	Você já fez isso antes?
1648817	76232	alexmarcelo	13	1	prep-place-or-time	Tudo em cima?
1063478	58631	alexmarcelo	27	2	conjunction,negation	Mas eu não estava com medo.
6394888	484186	Ricardo14	18	1	querer+inf	Quero perder peso.
1693809	77464	alexmarcelo	16	1	ter	Temos um acordo?
6774445	471672	Ricardo14	12	1	possessive	Quero o meu.
5187301	963454	Ricardo14	17	1	wh-question	O que você gosta?
1059925	58225	alexmarcelo	18	1	ser	Saiba quem você é.
3246117	470356	Ricardo14	17	1	demonstrative	Amo aquele lugar.
3817743	473479	Ricardo14	53	3	estar,estar+ndo,possessive	Estou sentindo que o meu francês está ficando melhor.
12286318	1182695	MathKay	24	2	demonstrative,ir+inf	Acho que vou pegar essa.
1075544	58951	alexmarcelo	13	1	poder+inf	Posso entrar?
3389021	475951	Ricardo14	24	2	demonstrative,preterite-irreg	Você fez aquilo uma vez.
1069929	58825	alexmarcelo	12	1	prep-place-or-time	Moram perto.
11177950	1186223	MathKay	17	2	conjunction,wh-question	Quando você para?
5031175	471588	Ricardo14	17	1	querer+inf	Vocês querem ver?
3274538	351389	Ricardo14	16	1	ter	Tenho de dormir.
1112677	64102	alexmarcelo	34	1	possessive	Terei que falar disso com meu pai.
886191	46592	alexmarcelo	27	1	wh-question	Do que você estava falando?
1113232	64155	alexmarcelo	18	1	ser	São duas da manhã.
5917196	471640	Ricardo14	17	1	demonstrative	Eu quero aqueles.
5979447	769816	Ricardo14	36	4	demonstrative,estar,estar+ndo,negation	Não estou falando isso só por falar.
2693789	1187661	MathKay	20	2	demonstrative,ir+inf	Vou sair esta tarde.
1131113	64966	alexmarcelo	13	1	poder+inf	Posso tentar?
3386153	470402	Ricardo14	19	2	demonstrative,preterite-irreg	Nós fizemos aquilo.
4771857	269926	bill	12	1	prep-place-or-time	Fique longe.
5126796	279704	alexmarcelo	28	2	conjunction,wh-question	Por que você quer ir embora?
5151418	280876	bill	17	1	querer+inf	Você quer dormir?
3421761	963385	Ricardo14	28	1	ter	Temos de sair imediatamente.
8863950	738331	Ricardo14	34	1	possessive	Eu gosto da sua maneira de pensar.
1200000	67367	alexmarcelo	15	1	wh-question	O que você diz?
3207478	470348	Ricardo14	18	1	ser	Somos uma família.
5979448	769817	Ricardo14	39	4	demonstrative,estar,estar+ndo,negation	Eu não estou falando isso só por falar.
1063476	58629	alexmarcelo	19	2	ir+inf,wh-question	Que vai fazer você?
1206564	67546	alexmarcelo	13	1	poder+inf	Posso ajudar?
5117958	279333	alexmarcelo	26	2	preterite-irreg,wh-question	Foi feito o que eu mandei?
4771858	269927	bill	12	1	prep-place-or-time	Fique perto.
3386184	470407	Ricardo14	15	2	conjunction,preterite-irreg	Ele foi embora.
2104051	101951	alexmarcelo	16	1	querer+inf	Eu quero ganhar.
3436029	351418	Ricardo14	16	1	ter	Tenho de entrar.
10566955	978268	Ricardo14	20	2	possessive,ser	O seu carro é preto?
1656858	76435	alexmarcelo	15	1	wh-question	Que farão eles?
5189760	963455	Ricardo14	26	1	ser	O mundo é um lugar grande.
5122253	279425	alexmarcelo	49	5	conjunction,estar,estar+ndo,preterite-irreg,wh-question	Se ele foi embora, por que você o está esperando?
2766629	470324	Ricardo14	19	2	ir+inf,negation	Ninguém vai tentar.
3447988	963398	Ricardo14	31	1	poder+inf	Nós podemos descansar um pouco?
10587463	973406	Ricardo14	27	2	preterite-irreg,wh-question	Como fui me esquecer disso?
972366	49881	alexmarcelo	43	1	prep-place-or-time	Na verdade eu gosto da forma que você fala.
4626633	351512	Ricardo14	15	2	conjunction,wh-question	Quem se lembra?
2500507	140160	alexmarcelo	16	1	querer+inf	Eu quero dormir.
6781286	471726	Ricardo14	28	1	ter	Eu tenho o que vocês querem.
1112810	64134	alexmarcelo	24	2	possessive,wh-question	Como você chama sua mãe?
10589471	973408	Ricardo14	27	1	ser	A comida daqui é muito boa.
5122255	279426	alexmarcelo	49	5	conjunction,estar,estar+ndo,preterite-irreg,wh-question	Se ela foi embora, por que você a está esperando?
4974591	967306	Ricardo14	18	2	ir+inf,negation	Ninguém vai saber.
5933251	471645	Ricardo14	31	1	poder+inf	Podemos fazer antes de segunda?
2442707	138273	alexmarcelo	16	2	possessive,preterite-irreg	Foi ideia minha.
10593015	973413	Ricardo14	22	2	estar,prep-place-or-time	Ela está em casa hoje?
5126878	279741	alexmarcelo	29	2	conjunction,negation	Eu não sei como ele se chama.
3802138	351430	Ricardo14	16	1	querer+inf	Eu quero entrar.
514764	973352	Ricardo14	15	1	ter	Tenho um visto.
394327	31857	bill	20	2	possessive,ser	Agora é a minha vez.
6806012	769851	Ricardo14	18	2	ir+inf,negation	Não vai ser assim.
7327777	963527	Ricardo14	13	1	poder+inf	Posso tentar.
3802148	351433	Ricardo14	16	2	demonstrative,preterite-irreg	Isso foi demais.
5149942	280725	bill	23	2	negation,prep-place-or-time	Não há oxigênio na Lua.
5126880	279742	alexmarcelo	29	2	conjunction,negation	Eu não sei como ela se chama.
4492555	484095	Ricardo14	16	1	querer+inf	Queremos voltar.
1132677	64996	alexmarcelo	14	1	ter	Você tem tudo.
4819107	963440	Ricardo14	20	2	possessive,ser	É a minha vez agora.
12261481	1182657	MathKay	17	2	demonstrative,ir+inf	Vamos beber isso.
1564850	75286	alexmarcelo	12	1	poder+inf	Posso comer?
5699222	482246	Ricardo14	28	2	demonstrative,preterite-irreg	Vocês já fizeram isso antes?
3276085	963381	Ricardo14	20	2	negation,prep-place-or-time	Não falem sobre mim.
1201250	67407	alexmarcelo	14	2	conjunction,negation	Não vá embora!
5031190	471590	Ricardo14	16	1	querer+inf	Quero descansar.
3416608	963384	Ricardo14	30	1	ter	Temos de partir imediatamente.
4861540	762206	Ricardo14	20	2	possessive,ser	O prazer é todo meu.
2766627	351379	Ricardo14	16	2	ir+inf,negation	Nada vai ajudar.
384800	484990	Voz	33	1	poder+inf	Você pode manter o barulho baixo?
1190044	67184	alexmarcelo	15	2	preterite-irreg,wh-question	O que você fez?
3276084	963380	Ricardo14	19	2	negation,prep-place-or-time	Não fale sobre mim.
1201949	67421	alexmarcelo	14	2	conjunction,negation	Não vá embora.
8586335	967401	Ricardo14	16	1	querer+inf	Queremos tentar.
1220247	67732	alexmarcelo	13	1	ter	Vocês têm um?
5137220	280397	bill	20	2	possessive,ser	O meu terno é cinza.
5984587	471653	Ricardo14	28	2	ir+inf,prep-place-or-time	Vou fazer trinta em outubro.
1063192	58560	alexmarcelo	37	1	poder+inf	Posso ver o quarto, fazendo um favor?
1386868	71189	alexmarcelo	15	2	demonstrative,preterite-irreg	Essa foi quase.
11274021	1187718	MathKay	18	2	negation,prep-place-or-time	Não nos damos bem.
1393843	71323	alexmarcelo	14	2	conjunction,negation	Nunca se sabe.
4860576	471557	Ricardo14	15	1	querer+inf	Eu quero ficar.
1063486	58638	alexmarcelo	32	1	ter	Ele tem mesmo dinheiro a perder.
7331083	769915	Ricardo14	28	2	ir+inf,negation	Eu não vou voltar para casa.
4714111	471506	Ricardo14	47	1	poder+inf	Você poderia voltar aqui amanhã às duas e meia?
6781304	471732	Ricardo14	15	1	querer+inf	Eu quero fazer.
1592075	75548	alexmarcelo	12	1	ter	Tenho de ir.
4809927	967263	Ricardo14	23	2	demonstrative,poder+inf	Isso nós podemos fazer.
1212848	67640	alexmarcelo	14	1	querer+inf	Você quer vir?
10960700	1186186	MathKay	17	2	poder+inf,wh-question	Como posso saber?
5031174	471587	Ricardo14	14	1	querer+inf	Você quer ver?
1061466	58380	alexmarcelo	22	0		Você me lembra alguém.
